PHARMACIE_ID,NOM,ADRESSE,VILLE,CODE_POSTAL,DEPARTEMENT,REGION,LATITUDE,LONGITUDE,TELEPHONE,GOOGLE_MAPS_URL
865,Cabine Téléconsultation Médecin Tessan,6 Pl. du Marché,Passais-Villages,61350,61,Normandie,48.51846105,-0.7571164,0233387122,https://maps.google.com/maps?cid=2293331907327350318
375,Cabine Téléconsultation Médecin Tessan,64 Av. Abbé Jean Alvitre,Brive-la-Gaillarde,19100,19,Nouvelle-Aquitaine,45.15303826,1.50665667,0555869298,https://maps.google.com/maps?cid=16616455642556742249
384,Cabine Téléconsultation Médecin Tessan,793 Bd Barthélémy Abbadie,Saint-Victoret,13730,13,Provence-Alpes-Côte d Azur,43.41631641,5.24344559,0442891049,https://maps.google.com/maps?cid=8829471238618929704
397,Cabine Téléconsultation Médecin Tessan,31 Av. Gambetta,Albi,81000,81,Occitanie,43.92308545,2.14756535,0563540392,https://maps.google.com/maps?cid=16231729802765863866
535,Cabine Téléconsultation Médecin Tessan,5 Rue du 11 Novembre 1918,Dun les Places,58230,58,Bourgogne-Franche-Comté,47.2155656,4.02790696,0640995050,https://maps.google.com/maps?cid=7183973650680254472
1539,Cabine Téléconsultation Médecin Tessan,47 Av. du Colonel Pardes,Prayssac,46220,46,Occitanie,44.50425522,1.17737166,0565306717,https://maps.google.com/maps?cid=7424241306645466142
1455,Cabine Téléconsultation Médecin Tessan,60 Grand Rue,Rosselange,57780,57,Grand Est,49.25816156,6.07080446,0387670537,https://maps.google.com/maps?cid=15263352641776712185
1440,Cabine Téléconsultation Médecin Tessan,4 Rue Aristide Briand,Trélon,59132,59,Hauts-de-France,50.05835519,4.10303097,0327597039,https://maps.google.com/maps?cid=13870006758586452957
1442,Cabine Téléconsultation Médecin Tessan,79 Rue du Landy,Aubervilliers,93300,93,Île-de-France,48.91519901,2.36695399,0148336128,https://maps.google.com/maps?cid=13129038419549032916
1444,Cabine Téléconsultation Médecin Tessan,90 Rue Veuve Emile Murge,Saint-Jean-de-Moirans,38430,38,Auvergne-Rhône-Alpes,45.34089882,5.58296109,0476353748,https://maps.google.com/maps?cid=5718754844990078026
1446,Cabine Téléconsultation Médecin Tessan,2 Pl. Gustave Vinadelle,Dun-sur-Auron,18130,18,Centre-Val de Loire,46.88520632,2.56988156,0248595036,https://maps.google.com/maps?cid=10712156891462270796
1447,Cabine Téléconsultation Médecin Tessan,19 Pl. Clemenceau,Montoire-sur-le-Loir,41800,41,Centre-Val de Loire,47.75290311,0.86274126,0254850812,https://maps.google.com/maps?cid=6463465080542230492
1450,Cabine Téléconsultation Médecin Tessan,84 Pl. du Général​ de Gaulle,Wormhout,59470,59,Hauts-de-France,50.88372281,2.46788935,0328656117,https://maps.google.com/maps?cid=17445862108036749419
1452,Cabine Téléconsultation Médecin Tessan,54 Rue du Général de Gaulle,Bernay,27300,27,Normandie,49.08943042,0.5956467,0232430045,https://maps.google.com/maps?cid=4627007438543351218
1454,Cabine Téléconsultation Médecin Tessan,1 Chem. de Champarlau,Peipin,4200,42,Auvergne-Rhône-Alpes,44.13906656,5.96642875,0492624212,https://maps.google.com/maps?cid=7257056892118759467
1471,Cabine Téléconsultation Médecin Tessan,Rue du Berger,Bellaing,59135,59,Hauts-de-France,50.36548934,3.4317396,0327240418,https://maps.google.com/maps?cid=8205599953543783532
1456,Cabine Téléconsultation Médecin Tessan,2 Rue du Général de Gaulle,Oradour-sur-Vayres,87150,87,Nouvelle-Aquitaine,45.73273275,0.86307863,0555781023,https://maps.google.com/maps?cid=7999389656738257040
1458,Cabine Téléconsultation Médecin Tessan,1A Rue du Calvaire,Réhon,54430,54,Grand Est,49.49766721,5.75171822,0382243113,https://maps.google.com/maps?cid=17255567775393061609
1460,Cabine Téléconsultation Médecin Tessan,87 Rue du Nordfeld,Mulhouse,68100,68,Grand Est,47.75223236,7.34700946,0389453813,https://maps.google.com/maps?cid=2722449182460061082
1462,Cabine Téléconsultation Médecin Tessan,5 Rue de la Prte Guillaume,Chartres,28000,28,Centre-Val de Loire,48.44704914,1.49245666,0237340186,https://maps.google.com/maps?cid=2590860089852934501
1464,Cabine Téléconsultation Médecin Tessan,1 Rue nationale,Marquise,62250,62,Hauts-de-France,50.81419131,1.70325758,0321928321,https://maps.google.com/maps?cid=18177200610447190552
1466,Cabine Téléconsultation Médecin Tessan,52 Av. du Maréchal Leclerc,Souppes-sur-Loing,77460,77,Île-de-France,48.18353251,2.73590381,0164297026,https://maps.google.com/maps?cid=15805944813277633780
1468,Cabine Téléconsultation Médecin Tessan,40 Av. du 4 Septembre,Désertines,3630,36,Centre-Val de Loire,46.35584011,2.61558733,0470052108,https://maps.google.com/maps?cid=16490018373711471883
1470,Cabine Téléconsultation Médecin Tessan,74 Rue du Général de Gaulle,Cany-Barville,76450,76,Normandie,49.78732739,0.63623738,0235977309,https://maps.google.com/maps?cid=3424722271690613803
1477,Cabine Téléconsultation Médecin Tessan,47 ZAE Champagne,Tournon-sur-Rhône,7300,73,Auvergne-Rhône-Alpes,45.0533704,4.83631037,0475080583,https://maps.google.com/maps?cid=9678943322770726517
1476,Cabine Téléconsultation Médecin Tessan,221 Av. Jean Jaurès,Lyon,69007,69,Auvergne-Rhône-Alpes,45.73444933,4.83571659,0478726358,https://maps.google.com/maps?cid=8566742754568592020
1499,Cabine Téléconsultation Médecin Tessan,243 Av. des Poilus,Marseille,13012,13,Provence-Alpes-Côte d Azur,43.31794058,5.46029541,0491571154,https://maps.google.com/maps?cid=6214169920292360364
1481,Cabine Téléconsultation Médecin Tessan,22 Pl. de la République,Étoile-sur-Rhône,26800,26,Auvergne-Rhône-Alpes,44.83854082,4.89268678,0475606153,https://maps.google.com/maps?cid=11069360903313152329
1521,Cabine Téléconsultation Médecin Tessan,44 Rue Nationale,Forbach,57600,57,Grand Est,49.18805339,6.90400817,0387850314,https://maps.google.com/maps?cid=17816844959809847714
1483,Cabine Téléconsultation Médecin Tessan,5 Rue d'Annonay,Tence,43190,43,Auvergne-Rhône-Alpes,45.11456501,4.29101913,0471657580,https://maps.google.com/maps?cid=8509112855988336257
1484,Cabine Téléconsultation Médecin Tessan,25 Rue Anatole France,Vénissieux,69200,69,Auvergne-Rhône-Alpes,45.72207609,4.89163338,0478742436,https://maps.google.com/maps?cid=18173116955428992835
1485,Cabine Téléconsultation Médecin Tessan,126 Rue de l'Epeule,Roubaix,59100,59,Hauts-de-France,50.68911683,3.15980896,0967262259,https://maps.google.com/maps?cid=5374034002675387749
1488,Cabine Téléconsultation Médecin Tessan,2 Rue Apothicaires,Corme-Royal,17600,17,Nouvelle-Aquitaine,45.74018283,-0.81442274,0546947212,https://maps.google.com/maps?cid=2132832134466380220
1489,Cabine Téléconsultation Médecin Tessan,16 Av. de l'Europe,Marckolsheim,67390,67,Grand Est,48.16531271,7.55529681,0388749450,https://maps.google.com/maps?cid=17630441311986739170
